8.3 (D)(3DRel)	Time
0.00019506	91.5698
0.000287284	118.0835
0.000373204	157.6742
0.000429721	197.6555
0.000429721	237.6528
0.000445382	277.6824
0.000445382	319.0344
0.000523746	359.2541
0.000523746	398.0661
0.000565399	441.5626
0.000590697	478.3807
0.000573455	518.2693
0.000605415	558.5636
0.000614657	597.2415
0.000623633	637.5236
0.000621235	677.2723
0.000620189	717.6354
0.000643024	757.3626
0.00069213	797.7057
0.000774957	837.4207
0.000843857	879.7255
0.000956703	917.5822
0.001188874	957.802
0.001274135	997.6477
0.001311418	1037.6114
0.001345612	1077.8696
0.001374601	1118.1703
0.001424972	1162.3983
0.001473002	1198.2065
0.001501425	1237.8952
0.001501425	1278.0145
0.001578084	1318.1596
0.001578084	1358.3286
0.001628854	1399.251
0.001628854	1438.6676
0.001624062	1478.2749
0.001577749	1518.1401
0.001568467	1557.4787
0.001542904	1597.3024
0.001535917	1637.5417
0.001525864	1677.5839
0.001525617	1717.5978
0.00156912	1757.4075
0.001665306	1797.653
0.001797366	1837.3476
0.001908464	1878.0047
0.00205975	1917.5983
0.002217806	1957.7527
0.002430702	1997.6452
0.002567071	2037.8986
0.002593817	2077.7814
0.002653379	2117.9538
0.002699938	2157.9941
0.002723292	2197.8803
0.002723292	2237.8245
0.002722054	2278.0618
0.002722054	2317.9533
0.002615598	2362.2461
0.002557833	2397.9017
0.002557833	2438.1492
0.002506347	2478.3304
0.00245625	2518.0742
0.002400429	2558.3369
0.002317286	2598.0773
0.002277866	2638.5974
0.002226148	2678.1256
0.002222938	2717.5091
0.002197315	2757.1983
0.002180339	2803.3177
0.002154865	2837.4471
0.00214056	2877.7677
0.002037277	2917.4467
0.001917719	2957.7805
0.001734782	3000.7509
0.001567376	3038.0093
0.001295457	3077.5805
0.001035579	3118.0118
0.000782512	3157.7152
0.000580335	3198.0022
0.000586966	3237.823
0.000586966	3278.1213
0.001329717	3317.9889
0.001329717	3357.9595
0.002160793	3398.3416
0.002160793	3438.0337
0.002465248	3478.2831
0.003218459	3518.3034
0.003218459	3558.0365
0.003673346	3598.1212
0.004080791	3640.326
0.004313725	3677.8102
0.004480752	3718.3142
0.004506186	3758.0019
0.004495363	3798.3893
0.00437029	3838.0044
0.004330733	3878.898
0.004390668	3918.0621
0.004383178	3958.393
0.004409319	3998.0334
0.004505418	4038.3019
0.004393941	4078.1383
0.004164691	4118.4219
0.003993453	4158.2116
0.00355122	4200.5358
0.00355122	4237.3261
0.002868845	4278.051
0.002868845	4318.2761
0.00230509	4357.5591
0.00230509	4397.4741
0.00204051	4438.3618
0.001817624	4477.6648
0.001847932	4517.5091
0.001794233	4559.0659
0.00179616	4597.5955
0.001754408	4638.02
0.001655907	4678.151
0.001588691	4719.3635
0.001575736	4757.9741
0.001529708	4798.2548
0.001503914	4838.9733
0.001495848	4878.1569
0.001469207	4917.8412
0.001431576	4958.2632
0.001360881	4998.2138
0.001249965	5038.3989
0.001189386	5078.0691
0.001155737	5118.5116
0.001092215	5158.3583
0.001034373	5198.6507
0.001027263	5238.2292
